A,NYSE,USD,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,October,2023-07-31,32333791000,1769000000,28.93,2.36,18.99,0.885,0.0081,3.82,23.69,0.162,0.213,0.0879,0.213,6994000000,3722000000,3.82,-0.657,-0.027,136.88,28.93,26.95,6.5,8.63,6.92,24.87,1.031,159.14,106.82,116.87,130.36,292587000,2023-10-25,2023-10-02
AA,NYSE,USD,Common Stock,Alcoa Corp,"Alcoa Corporation produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company is headquartered in Pittsburgh, Pennsylvania.",USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,December,2023-06-30,4743201000,338000000,None,-0.29,27.13,0.4,0.0149,-8.1,60.88,-0.136,-0.0243,-0.0111,-0.224,10868000000,2305000000,-8.1,0.81,-0.263,36.94,-,12.02,0.583,1.485,0.63,5.12,2.451,57.17,25.59,29.11,38.13,178450000,2023-08-24,2023-08-07
AAC,NYSE,USD,Common Stock,AAC Holdings Inc,"Ares Acquisition Corporation focuses on effecting a merger, stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company is headquartered in New York, New York.",USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,2023-06-30,761114000,None,None,None,-1.176,0,0,-0.1,0,0,0,-0.0122,2.833,0,0,-0.1,-0.314,0,None,-,-,-,1.308,-,-301.41,0.01,10.79,9.94,10.71,10.45,45604300,None,None
AAC-U,NYSE,USD,Common Stock,AAC-U,None,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,None,0000-00-00,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,0,0,0,0,0,None,None
AAC-WS,NYSE,USD,Common Stock,AAC-WS,None,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,None,None,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,0,0,0,0,0,None,None
AACG,NASDAQ,USD,Common Stock,ATA Creativity Global,"ATA Creativity Global, provides educational services to individual students through its network of training centers in China. The company is headquartered in Beijing, China.",China,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,December,2023-06-30,39798200,-31730580,None,None,3.496,0,0,-0.2,6.71,-0.215,-0.259,-0.0713,-0.341,209197000,104796000,-0.2,0,0.065,11,-,-,0.231,2.302,0.488,-1.063,1.073,2.49,1.1,1.335,1.576,31585900,2018-08-24,2018-08-27
AACI,NASDAQ,USD,Common Stock,Armada Acquisition Corp I,None,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,2023-06-30,86299000,None,None,None,-0.823,0,0,-0.45,0,0,0,-0.0178,0,0,0,-0.45,0,0,None,-,-,-,-,-,-,None,12.2,8.56,10.67,10.32,8072800,None,None
AACIU,NASDAQ,USD,Unit,Armada Acquisition Corp I Unit,None,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,2023-06-30,None,None,None,None,-0.823,0,0,-0.203,0,0,0,-0.0178,0,0,0,-0.203,0,0,None,-,-,-,-,-,-,None,11.55,9.71,10.48,10.24,0,None,None
AACIW,NASDAQ,USD,Common Stock,Armada Acquisition Corp. I Warrant,None,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,September,2023-06-30,None,None,None,None,0.005,None,0,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,0.15,0.0125,0,0,0,None,None
AACT,NYSE,USD,Common Stock,Ares Acquisition Corporation II,"Ares Acquisition Corporation II focuses on effecting a merger, share exchange, share purchase, asset acquisition, reorganization, or similar business combination with one or more businesses. The company is headquartered in New York, New York.",USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,December,2023-03-31,639445000,None,0,None,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,10.37,10.1,10.14,10.14,50000000,None,None
